Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
413,35486.7390,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
414,35543.0690,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
415,35601.5590,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
416,35662.1090,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
417,35718.5400,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
418,35777.1740,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
419,35835.6990,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
420,35891.7640,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
421,35949.9540,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
422,36007.6390,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
423,36069.2290,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
424,36126.5480,3.51e+12,1.0,0.0,3312.052309298482,1912.1587518746433,1.30e+05,194748.34927873762,18333.59773221706,0.0,1.3798460841284655e-06,0.626471070146739,0.6837145409688836,0.608705583946872,0.3312340479259903,1.4398635558251534,0.0,1683.0,1235.0,
425,36186.1690,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
426,36240.6820,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
427,36299.4990,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
428,36358.8320,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
429,36418.8660,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
430,36479.3390,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
431,36542.2770,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
432,36600.7960,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
433,36659.8560,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
434,36719.1010,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
435,36776.6639,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
436,36833.2372,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
437,36892.1760,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
438,36952.3771,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
439,37011.4659,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
