Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
313,38393.5420,1.79e+11,1.0,1613.6962653305065,1.37e+05,455283.93971443793,486.37671589216575,1.037669049616414e-05,0.4022174802015523,0.1021157400841737,3.3811539764030867,0.0,1180.0,
314,38457.4620,1.79e+11,1.0,1613.6521987177548,1.37e+05,455270.58258779184,486.4020075062233,1.0376104080664674e-05,0.40223662589842146,0.10211033697397892,3.381103230694274,0.0,1180.0,
315,38542.4320,1.79e+11,1.0,1613.4799397210268,1.37e+05,455235.031929271,486.3869327019145,1.0375413651315849e-05,0.40221111672782084,0.10210179775869757,3.3812010772696404,0.0,1180.0,
316,38594.5840,1.79e+11,1.0,1612.9418672991856,1.37e+05,455262.1641891147,486.61948794828197,1.037152064651355e-05,0.40241225809517067,0.10206978420316257,3.380497227959161,0.0,1180.0,
317,38646.8840,1.80e+11,1.0,1612.7072246482671,1.37e+05,455258.7489763909,486.71565723615504,1.0369459234014872e-05,0.40249045301321285,0.10205435138076854,3.3802387535818523,0.0,1180.0,
318,38702.1260,1.80e+11,1.0,1612.479609468418,1.37e+05,455260.93398759747,486.81283410047706,1.0369125470607252e-05,0.40257572793711316,0.10203916228100483,3.379946541688502,0.0,1180.0,
319,38749.8870,1.80e+11,1.0,1612.479609468418,1.37e+05,455260.93398759747,486.81283410047706,1.0369125470607252e-05,0.40257572793711316,0.10203916228100483,3.379946541688502,0.0,1180.0,
320,38796.8370,1.80e+11,1.0,1612.479609468418,1.37e+05,455260.93398759747,486.81283410047706,1.0369125470607252e-05,0.40257572793711316,0.10203916228100483,3.379946541688502,0.0,1180.0,
321,38843.3600,1.80e+11,1.0,1612.479609468418,1.37e+05,455260.93398759747,486.81283410047706,1.0369125470607252e-05,0.40257572793711316,0.10203916228100483,3.379946541688502,0.0,1180.0,
322,38892.3570,1.80e+11,1.0,1612.4624247719335,1.37e+05,455257.10996487166,486.8154199635269,1.0369025278937735e-05,0.4025748151931132,0.10203833861790931,3.3799524405716843,0.0,1180.0,
323,38939.0410,1.80e+11,1.0,1612.4624247719335,1.37e+05,455257.10996487166,486.8154199635269,1.0369025278937735e-05,0.4025748151931132,0.10203833861790931,3.3799524405716843,0.0,1180.0,
324,38986.9530,1.80e+11,1.0,1612.4815003173735,1.37e+05,455282.82553174277,486.8744272418621,1.036784576729907e-05,0.4025944433274853,0.10204311158434023,3.3798985325756083,0.0,1180.0,
325,39034.2240,1.80e+11,1.0,1612.5315115138728,1.37e+05,455260.19294667616,486.82541109509623,1.0367405380037124e-05,0.4025433964851803,0.10204646536987846,3.380087275194322,0.0,1180.0,
326,39084.4510,1.80e+11,1.0,1612.5315115138728,1.37e+05,455260.19294667616,486.82541109509623,1.0367405380037124e-05,0.4025433964851803,0.10204646536987846,3.380087275194322,0.0,1180.0,
327,39134.3760,1.80e+11,1.0,1612.5187960980634,1.37e+05,455346.46824365685,486.95979313566636,1.0355096815394882e-05,0.4026201334649453,0.10206302484764523,3.3797973558173657,0.0,1180.0,
328,39181.1560,1.80e+11,1.0,1612.3341408475112,1.37e+05,455438.88681653974,487.1229882732613,1.0354022840649763e-05,0.4027501814575454,0.10207045731111694,3.3792901494190013,0.0,1180.0,
329,39225.7170,1.80e+11,1.0,1612.232228298707,1.37e+05,455499.69335343246,487.2648146214136,1.0349121634648358e-05,0.40283496171744426,0.10207621657462454,3.378989120536814,0.0,1180.0,
330,39276.4210,1.80e+11,1.0,1612.266893459734,1.37e+05,455582.85875877365,487.3975139741128,1.0345116953863074e-05,0.4028805406175088,0.10209795954450712,3.3788278196659327,0.0,1180.0,
331,39328.5100,1.80e+11,1.0,1612.3999971270896,1.37e+05,455524.2478911951,487.31673484943906,1.0339351988078887e-05,0.4027611513197603,0.10210167637276335,3.379307482283804,0.0,1180.0,
332,39376.6120,1.80e+11,1.0,1612.1333524423185,1.37e+05,455604.60104309744,487.52963974304413,1.0338856279048652e-05,0.40293673244109385,0.10209581363214199,3.3786671845361256,0.0,1180.0,
333,39428.7340,1.80e+11,1.0,1612.1350432136278,1.37e+05,455574.7817772791,487.51913507294216,1.0333667858106994e-05,0.40290368697548756,0.10209312439619787,3.378816834770724,0.0,1180.0,
334,39477.8800,1.80e+11,1.0,1611.9158965914862,1.37e+05,455689.0836663126,487.7922018258274,1.0329976924468003e-05,0.40307006810419904,0.10210191363272397,3.3782258438005623,0.0,1180.0,
335,39529.6910,1.80e+11,1.0,1611.6293383054103,1.37e+05,455742.0108630258,488.0041542348846,1.0324068958014161e-05,0.40321644062899487,0.10209339141916757,3.3777210792603274,0.0,1180.0,
336,39581.2940,1.80e+11,1.0,1611.6293383054103,1.37e+05,455742.0108630258,488.0041542348846,1.0324068958014161e-05,0.40321644062899487,0.10209339141916757,3.3777210792603274,0.0,1180.0,
337,39634.2390,1.80e+11,1.0,1611.6293383054103,1.37e+05,455742.0108630258,488.0041542348846,1.0324068958014161e-05,0.40321644062899487,0.10209339141916757,3.3777210792603274,0.0,1180.0,
